Mánaðarmeðaltöl fyrir stöð 503 - Sigurðarstaðir,,,,,,,,,,,,,,,,,
stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
503,1988,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,NA
503,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA
503,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA
503,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA
503,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA
503,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,NA
503,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,NA
503,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.4,NA
503,1989,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.6,NA
503,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.4,NA
503,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.9,NA
503,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,NA
503,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA
503,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
503,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA
503,1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA
503,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,NA
503,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.7,NA
503,1990,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,NA
503,1990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.5,NA
503,1990,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.7,NA
503,1990,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.1,NA
